,asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,unit_price,unit_count,product_availability,coupon_text
24,B0BLS3Y632,"Amazon Echo Show 8 (3rd Gen, 2023 release) | With Spatial Audio, Smart Home Hub, and Alexa | Charcoal",$149.99,,USD,4.5,13609,https://www.amazon.com/dp/B0BLS3Y632,https://m.media-amazon.com/images/I/51B0KzSAh2L._AC_UY654_FMwebp_QL65_.jpg,1,$149.99,False,True,True,True,10K+ bought in past month,"FREE delivery Mon, Oct 21 Or fastest delivery Fri, Oct 18",True,,,,
25,B0D5KKYKLZ,"Introducing All-New Plant-Based Leather Folio Cover with Magnetic Attach, Designed with Sustainability in Mind for New Amazon Kindle Scribe",$69.99,,USD,,0,https://www.amazon.com/dp/B0D5KKYKLZ,https://m.media-amazon.com/images/I/71eXMbjWkzL._AC_UY654_FMwebp_QL65_.jpg,1,$69.99,False,False,True,False,50+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Thu, Dec 12 This item will be released on December 4, 2024.",False,,,,
26,B0BTTVRWPR,INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24),$229.99,$299.99,USD,4.4,13423,https://www.amazon.com/dp/B0BTTVRWPR,https://m.media-amazon.com/images/I/81DM+ZzL8rL._AC_UY654_FMwebp_QL65_.jpg,1,$229.99,False,False,False,False,10K+ bought in past month,FREE delivery Oct 21 - 24 Or FREE pickup Tomorrow ready by 12 PM,False,,,,
27,B09B94RL1R,"Amazon Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Glacier White",$49.99,,USD,4.6,128507,https://www.amazon.com/dp/B09B94RL1R,https://m.media-amazon.com/images/I/41F4LmKQeoL._AC_UY654_FMwebp_QL65_.jpg,1,$49.99,False,False,False,True,10K+ bought in past month,FREE delivery,True,,,,
28,B0CG5VDC8P,"Amazon Basics Smart A19 LED Light Bulb, Color Changing, 9W (60W Equivalent), 800LM, Works with Alexa Only, 2.4 GHz Wi-Fi, No Hub Required, 1-Pack",$12.99,,USD,4.4,6147,https://www.amazon.com/dp/B0CG5VDC8P,https://m.media-amazon.com/images/I/71InrzITFhL._AC_UY654_FMwebp_QL65_.jpg,14,$11.49,False,False,True,True,10K+ bought in past month,"FREE delivery Tue, Oct 22 on $35 of items shipped by AmazonOr fastest delivery Fri, Oct 18",False,,,,
29,B09B2SBHQK,"Amazon Echo Show 5 (3rd Gen, 2023 release) | Smart display with 2x the bass and clearer sound | Charcoal",$89.99,,USD,4.4,35257,https://www.amazon.com/dp/B09B2SBHQK,https://m.media-amazon.com/images/I/51CYzU8PL4L._AC_UY654_FMwebp_QL65_.jpg,2,$59.70,False,False,True,True,10K+ bought in past month,"FREE delivery Tue, Oct 22 Or fastest delivery Fri, Oct 18",True,,,,
30,B0BHZT5S12,"Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1&quot; vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black",$139.99,,USD,4.5,15282,https://www.amazon.com/dp/B0BHZT5S12,https://m.media-amazon.com/images/I/5160oIUsG8L._AC_UY654_FMwebp_QL65_.jpg,1,$139.99,False,False,True,True,10K+ bought in past month,"FREE delivery Mon, Oct 21 Or fastest delivery Fri, Oct 18",False,,,,
31,B0B1N4LM4J,"Blink Outdoor 4 – Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 5 camera system",$399.99,,USD,4.1,3698,https://www.amazon.com/dp/B0B1N4LM4J,https://m.media-amazon.com/images/I/41Op5wMrmpL._AC_UY654_FMwebp_QL65_.jpg,1,$399.99,True,False,True,True,10K+ bought in past month,"FREE delivery Tue, Oct 22 Or fastest delivery Fri, Oct 18",False,,,,
32,B0C8S1Q6G7,2-Year Protection Plan for Kindle Paperwhite,$25.99,,USD,,0,https://www.amazon.com/dp/B0C8S1Q6G7,https://m.media-amazon.com/images/I/615JiwTUG4L._AC_UY654_FMwebp_QL65_.jpg,1,$25.99,False,False,False,False,100+ bought in past month,FREE delivery Oct 22 - 24,False,,,,
33,B091GJ72FP,"Certified Refurbished Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",$17.99,$24.99,USD,4.4,1996,https://www.amazon.com/dp/B091GJ72FP,https://m.media-amazon.com/images/I/41DTzx56EWL._AC_UY654_FMwebp_QL65_.jpg,1,$17.99,False,False,True,False,2K+ bought in past month,"FREE delivery Tue, Oct 22 on $35 of items shipped by AmazonOr fastest delivery Sat, Oct 19",False,,,,
34,B09L45VFCN,Ring Chime,$34.99,,USD,4.6,38934,https://www.amazon.com/dp/B09L45VFCN,https://m.media-amazon.com/images/I/61OIHg12JiL._AC_UY654_FMwebp_QL65_.jpg,4,$34.64,True,False,True,False,10K+ bought in past month,"FREE delivery Wed, Oct 23 on $35 of items shipped by AmazonOr fastest delivery Mon, Oct 21",False,,,,
35,B0DDM3PGVF,INSIGNIA 70-inch Class F50 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-70F501NA25),$379.99,$499.99,USD,3.6,13,https://www.amazon.com/dp/B0DDM3PGVF,https://m.media-amazon.com/images/I/71H98Uh0mhL._AC_UY654_FMwebp_QL65_.jpg,1,$379.99,False,False,False,False,2K+ bought in past month,FREE delivery Oct 23 - 31 Or FREE pickup Tomorrow ready by 12 PM,False,,,,
36,B0CG6VFFVL,"Ring Floodlight Cam Wired Pro with Bird’s Eye View and 3D Motion Detection, White",$249.99,,USD,4.6,9430,https://www.amazon.com/dp/B0CG6VFFVL,https://m.media-amazon.com/images/I/717eVlQ7zmL._AC_UY654_FMwebp_QL65_.jpg,2,$208.24,False,False,True,True,5K+ bought in past month,"FREE delivery Tue, Oct 22 Or fastest delivery Sat, Oct 19",True,,,,
37,B0CG2JMX5X,All-new Ring No-Drill Mount for Battery Doorbell,$19.99,,USD,4.3,10656,https://www.amazon.com/dp/B0CG2JMX5X,https://m.media-amazon.com/images/I/41DYTjx2nML._AC_UY654_FMwebp_QL65_.jpg,2,$19.19,False,False,True,False,10K+ bought in past month,"FREE delivery Tue, Oct 22 on $35 of items shipped by AmazonOr fastest delivery Sat, Oct 19",False,,,,
38,B0D5KPDR1X,"New Amazon Kindle Scribe Folio Cover with Magnetic Attach, Sleek Protective Case - Premium Leather",$99.99,,USD,,0,https://www.amazon.com/dp/B0D5KPDR1X,https://m.media-amazon.com/images/I/71my1+BgvML._AC_UY654_FMwebp_QL65_.jpg,1,$99.99,False,False,True,False,Also available in Black,"FREE delivery Wed, Dec 18 Or fastest delivery Thu, Dec 12 This item will be released on December 4, 2024.",False,,,,
39,B0CG2VS5FD,"Introducing Ring Pan-Tilt Indoor Cam | See all around with 360° pan coverage, HD video, plus Two-Way Talk (2024 release) | White",$79.99,,USD,4.6,690,https://www.amazon.com/dp/B0CG2VS5FD,https://m.media-amazon.com/images/I/518jC2FOAYL._AC_UY654_FMwebp_QL65_.jpg,1,$79.99,False,False,True,True,10K+ bought in past month,"FREE delivery Mon, Oct 21 Or fastest delivery Fri, Oct 18",True,,,,
40,B0D4P1T8RV,"TCL 75-Inch Class S5 UHD 4K LED Smart TV with Fire TV (75S551F, 2024 Model), Dolby Vision, HDR PRO+, Dolby Atmos, Alexa Built-in with Voice Remote, Apple AirPlay 2 Compatibility, Streaming Television",$519.99,$649.99,USD,4,199,https://www.amazon.com/dp/B0D4P1T8RV,https://m.media-amazon.com/images/I/71ByP+FObYL._AC_UY654_FMwebp_QL65_.jpg,2,$493.99,False,False,False,False,1K+ bought in past month,"FREE delivery as soon as Thu, Oct 24, 8 AM - 8 PM",False,,,,
