,asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,product_availability
59,B0D488N6BL,"Blink Outdoor 4 + Blink Mini 2 — Smart security cameras, two-way talk, HD live view, motion detection, set up in minutes, Works with Alexa — 3 camera system + Mini 2 (Black)",299.98,,4.5,52,1,299.98,False,False,False,False,,False,
60,B084RQ6MHJ,Blink Add-On Sync Module 2,49.99,,4.4,42789,1,49.99,True,False,True,False,10K+ bought in past month,False,
61,B0D8JYNTNK,Echo Pop with TP-Link Tapo Smart Color Bulb,39.99,64.98,4.5,68,1,39.99,False,False,False,False,List: ,False,
62,B01I0IGFKC,"Amazon 9W Official OEM USB Charger and Power Adapter for Fire Tablets, Kindle eReaders, and Echo Dot",19.99,,4.7,15240,4,18.04,False,False,True,False,10K+ bought in past month,False,
63,B09WZBPX7K,"Ring Battery Doorbell Plus | Head-to-Toe HD+ Video, motion detection &amp; alerts, and Two-Way Talk (2023 release)",149.99,,4.6,8551,8,103.49,False,False,True,True,10K+ bought in past month,False,
64,B0DC6S5PN8,"OneBom (2Pcs) Silicone Remote Cover Glow in The Dark for Firetv 4K Max (2nd)/Insignia/Pioneer/Omni (QLED) Series with Lanyard, Lightweight Anti-Slip Shockproof(Glow Green&amp;Brown)",6.98,,4.5,431,1,6.98,False,False,True,False,50+ bought in past month,False,
65,B09JVG3TWX,"Amazon Echo Buds (2023 Release) | True Wireless Bluetooth 5.2 Earbuds with Alexa, audio personalization, multipoint, 20H battery with charging case, fast charging, sweat resistant | Black",49.99,,3.9,9458,1,49.99,False,False,True,True,10K+ bought in past month,True,
66,B0BBX45V5B,"Blink Outdoor 4 Floodlight Camera – Wire-free smart security camera, 700 lumens, two-year battery life, HD live view, enhanced motion detection, Works with Alexa- 1 camera system",129.98,,4.3,3682,1,129.98,False,False,True,True,10K+ bought in past month,False,
67,B0D89DSFFX,Echo Pop | Officially Licensed NFL Limited Edition | Seattle Seahawks,59.99,,4,5,1,59.99,False,False,True,False,,False,
68,B0D1DV6G2N,"New Amazon Fire HD 8 Kids tablet, ages 3-7 | 3GB memory, ad-free content with parental controls included, 13-hr battery, 32GB, Grape, (2024 release)",139.99,,4,5,1,139.99,False,False,True,True,2K+ bought in past month,False,
69,B0CZB1F8HL,2-Year Accident Protection Plan for New Kindle Scribe,45.99,,,0,1,45.99,False,False,False,False,,False,
70,B0B3GTSQ9Q,"Amazon Fire TV 50&quot; 4-Series 4K UHD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",279.99,449.99,4.5,39080,1,279.99,False,False,True,False,10K+ bought in past month,False,
71,B0B8C1HYY8,"Certified Refurbished Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",24.99,44.99,4.4,5863,1,24.99,False,False,True,False,1K+ bought in past month,False,
72,B0BWFD2ZGP,"Blink Outdoor 4 (4th Gen) + Blink Mini – Smart security camera, two-way talk, HD live view, motion detection, set up in minutes, Works with Alexa – 5 camera system + Mini (Black)",429.98,,4.4,142,1,429.98,False,True,False,True,This product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap.,False,
73,B08ZK2BHP2,"Amazon eero 6+ mesh Wi-Fi router | 1.0 Gbps Ethernet | Coverage up to 4,500 sq. ft. | Connect 75+ devices | 3-Pack | 2022 release",299.99,,4.4,8109,1,299.99,False,False,True,True,10K+ bought in past month,False,
74,B0CKM5VLYT,"Blink Video Doorbell + 3 Outdoor 4 smart security cameras (4th Gen) with Sync Module 2 | Two-year battery life, motion detection, two-way audio, HD video, Works with Alexa",319.98,,4.4,719,1,319.98,False,False,False,False,,False,
75,B0BL5C43SL,"Amazon Fire HD 10 Kids Pro tablet (newest model) ages 6-12 | Bright 10.1&quot; HD screen | Slim case for older kids, ad-free content, parental controls, 13-hr battery, 32 GB, Happy Day",189.99,,4.6,3557,1,189.99,False,False,True,True,10K+ bought in past month,False,
76,B09BS26B8B,"Amazon Kindle Scribe (16 GB) - 10.2” 300 ppi Paperwhite display, a Kindle and a notebook all in one, convert notes to text and share, includes Basic Pen",339.99,,4.3,8047,1,339.99,True,False,True,True,10K+ bought in past month,False,
